Job Title,Key Skills,Functional Area,Industry,Predicted_Category
Media Planning Executive/Manager, Media Planning| Digital Media,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Marketing
Sales Executive/Officer, pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology,"Sales , Retail , Business Development","IT-Software, Software Services",IT
R&D Executive, Computer science| Fabrication| Quality check| Intellectual property| Electronics| Support services| Research| Management| Human resource management| Research Executive,"Engineering Design , R&D","Recruitment, Staffing",Others
Technical Support Engineer, Technical Support,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Testing Engineer, manual testing| test engineering| test cases| web testing| web technologies,IT Software - QA & Testing,"IT-Software, Software Services",IT
System Analyst, adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales Executive/Officer, channel partners| real estate| negotiation| property| Residential Sales,"Sales , Retail , Business Development","Real Estate, Property",Others
Technical Architect, TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales Executive/Officer, Bde,"Sales , Retail , Business Development","IT-Software, Software Services",Others
Associate/Senior Associate -(Technical), technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Corporate Planning/Strategy Manager, secretary| executive assistant| ea,"Strategy , Management Consulting , Corporate Planning","Courier, Transportation, Freight , Warehousing",Others
Webmaster, website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",IT
Process Flow Analyst, operations| workflow| tat| monitoring| mts| email,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Software Developer,Oracle IDAM|OIM|OAM,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,IT
Social Media Marketing Manager, digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Marketing
Senior Design Engineer, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Others
Accounts Manager, Report Generation| Policies| analytical| procedures| Analysts| Data Entry| analytical skills,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Others
Software Developer,Copyright| Email| jQuery| XML| Javascript| CakePHP| Customer service| Open source| Facebook| CSS3,"IT Software - eCommerce , Internet Technologies","Textiles, Garments, Accessories",IT
Software Developer, C#| MS Dynamics CRM| Microsoft Dynamics| ms dynamics,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales Officer, sales manager| business development manager| relationship manager| brokers| insurance sales| channel sales| direct sale| direct marketing| sales| Marketing Executive| Territory Sales Manager,"Financial Services , Banking , Investments , Insurance",Insurance,Others
Sales/Business Development Manager, lead generation| business development| corporate sales,"Sales , Retail , Business Development","IT-Software, Software Services",Others
Sales/Business Development Manager, contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales,"Sales , Retail , Business Development","IT-Software, Software Services",Others
Quality Assurance/Quality Control Executive, QA Executive,IT Software - QA & Testing,"Pharma, Biotech, Clinical Research",IT
Software Developer, Java EE| JMS| Core Java| JUnit| Weblogic| HTML| JPA| JSON| SOAP| SQL,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",IT
Software Developer, Conceptualization| Architecting| Continuous improvement| SIDE| development| Front end| it,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Graphic/Web Designer, Articulate Storyline,"IT Software - Application Programming , Maintenance","Animation, Gaming",IT
Area Sales Manager, Area Sales Management| Retail Sales| FMCG| Chocolate| confectionary| ASM| Area Sales Manager| area business manager,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Others
Software Developer, C#| Java| OOP| C++| Multithreading| UML| OOAD| OOPS| .Net| debugging,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
System Administrator, qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos,"IT Software - Network Administration , Security","IT-Software, Software Services",IT
Project Manager-IT/Software, Java| JPA| Hibernate| Project Management| JDBC| Scrum Master| Microservices| Agile| SOAP| Rest,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer,Java| java api| Banking| j2ee| API| finance| core java| microservices,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Project Lead,GIS| ISO 27001| HR| information system| process| ISO 9001| Information security management| GIS software| Management| Edge,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Logistics Executive, Administration| Administrative Support| Contract Logistics| Staff Development| Site Management| Quality Improvement| warehousing| Warehouse Operations,Purchase / Logistics / Supply Chain,"Courier, Transportation, Freight , Warehousing",Others
Accounts Executive/Accountant, filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally,"Accounts , Finance , Tax , Company Secretary , Audit","Security, Law Enforcement",Others
Associate/Senior Associate -(NonTechnical), Outbound| Antivirus| Technical support| Sales| Spot| Inbound calls| pay| Medical| Comp,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Technical Support Manager, Troubleshooting| DNS| DHCP| Monitoring| Virtualization| Shell scripting| Python| VMS| Open source| Archiving,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",IT
Technical Architect,4G| 3GPP| 3G| System Architect| LTE| Radio Access Network| PhD| IEEE,"IT Software - Network Administration , Security","IT-Software, Software Services",IT
Software Developer,arm processor|c|device drivers|embedded linux|linux kernel|ipc,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,IT
Sales/Business Development Manager, market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction,"Sales , Retail , Business Development","IT-Software, Software Services",Others
Associate/Senior Associate -(NonTechnical), fixed assets| accounts payable| record to report| general accounting| general ledger,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Regional Manager, Team management| Regional sales| Management,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Others
Head / VP/ GM/ National Manager After Sales, Commercial Activities| Commercial Sales| Online Sales| Senior Management| Budgeting| Strategy Implementation| Marketing| E - commerce,"Sales , Retail , Business Development","Internet, Ecommerce",Others
Software Developer, ODI| Matrix,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",IT
